"2"	"174"	"COGENT-174"	"Cogent Communications"	"Tr/Ac"	"18283"	"241642"	"868307847"	"39%"	"45%"	"40%"	"4512"
"1"	"3356"	"LEVEL3"	"Level 3 Communications, Inc."	"Tr/Ac"	"26870"	"341330"	"1497945338"	"57%"	"64%"	"69%"	"4120"
"10"	"3549"	"LVLT-3549"	"Level 3 Communications, Inc."	"Tr/Ac"	"6589"	"129229"	"366603976"	"14%"	"24%"	"17%"	"3648"
"8"	"6939"	"HURRICANE"	"Hurricane Electric, Inc."	"Tr/Ac"	"7075"	"87790"	"344237427"	"15%"	"16%"	"16%"	"3570"
"12"	"7018"	"ATT-INTERNET4"	"AT&T Services, Inc."	"Tr/Ac"	"4853"	"71360"	"460729044"	"10%"	"13%"	"21%"	"2326"
"21"	"4323"	"TWTC"	"tw telecom holdings, inc."	"Tr/Ac"	"2286"	"24645"	"48129312"	"4.9%"	"4.7%"	"2.2%"	"1965"
"11"	"701"	"UUNET"	"MCI Communications Services, Inc. d/b/a Verizon Business"	"Tr/Ac"	"5119"	"109657"	"856489974"	"11%"	"20%"	"39%"	"1619"
"18"	"209"	"ASN-QWEST"	"Qwest Communications Company, LLC"	"Tr/Ac"	"3273"	"53135"	"346753468"	"7.0%"	"10%"	"16%"	"1610"
"19"	"20485"	"TRANSTELECOM"	"TransTelecom"	"Tr/Ac"	"3172"	"25208"	"41609747"	"6.8%"	"4.8%"	"1.9%"	"1416"
"15"	"6461"	"ABOVENET"	"Abovenet Communications, Inc"	"Tr/Ac"	"3542"	"42639"	"163832120"	"7.6%"	"8.1%"	"7.6%"	"1358"
"26"	"31133"	"MF-MGSM-AS"	"OJSC MegaFon"	"Tr/Ac"	"1718"	"11066"	"20613122"	"3.7%"	"2.1%"	"0.96%"	"1321"
"102"	"12989"	"HWNG"	"Eweka Internet Services B.V."	"Tr/Ac"	"297"	"9586"	"36334533"	"0.64%"	"1.8%"	"1.7%"	"1318"
"4"	"2914"	"NTT-COMMUN..."	"NTT America, Inc."	"Tr/Ac"	"15937"	"247805"	"843056405"	"34%"	"46%"	"39%"	"1161"
"20"	"9002"	"RETN-AS"	"RETN Limited"	"Tr/Ac"	"2776"	"19112"	"26199591"	"6.0%"	"3.6%"	"1.2%"	"1142"
"86"	"39792"	"ANDERS-AS"	"Anders Telecom Ltd."	"Tr/Ac"	"373"	"2039"	"3016963"	"0.80%"	"0.39%"	"0.14%"	"1111"
"9"	"2828"	"XO-AS15"	"XO Communications"	"Tr/Ac"	"6640"	"117322"	"403709292"	"14%"	"22%"	"18%"	"1096"
"238"	"42708"	"PORTLANE"	"Portlane Networks AB"	"Tr/Ac"	"96"	"845"	"763712"	"0.21%"	"0.16%"	"0.04%"	"1086"
"66"	"28917"	"Fiord-AS"	"JSC 'TRC FIORD'"	"Tr/Ac"	"524"	"3423"	"3658048"	"1.1%"	"0.65%"	"0.17%"	"1071"
"5"	"3257"	"TINET-BACK..."	"Tinet Spa"	"Tr/Ac"	"14934"	"228395"	"733135597"	"32%"	"43%"	"34%"	"1060"
"128"	"33891"	"CORE-BACKBONE"	"Core-Backbone GmbH"	"Tr/Ac"	"207"	"1086"	"3678240"	"0.45%"	"0.21%"	"0.17%"	"1051"
"3"	"1299"	"TELIANET"	"TeliaSonera International Carrier"	"Tr/Ac"	"16964"	"266486"	"923192607"	"36%"	"50%"	"42%"	"972"
"220"	"1267"	"ASN-INFOST..."	"WIND Telecomunicazioni S.p.A."	"Tr/Ac"	"105"	"665"	"7734547"	"0.23%"	"0.13%"	"0.36%"	"969"
"152"	"19151"	"WVFIBER-1"	"WV FIBER"	"Tr/Ac"	"170"	"2616"	"3082016"	"0.37%"	"0.49%"	"0.14%"	"855"
"24"	"3216"	"SOVAM-AS"	"OJSC 'Vimpelcom'"	"Tr/Ac"	"1785"	"11464"	"18829447"	"3.8%"	"2.2%"	"0.88%"	"818"
"180"	"29208"	"DIALTELECO..."	"Dial Telecom, a.s."	"Tr/Ac"	"137"	"455"	"1461280"	"0.29%"	"0.09%"	"0.07%"	"787"
"52"	"8220"	"COLT"	"COLT Technology Services Group Limited"	"Tr/Ac"	"704"	"4792"	"45816968"	"1.5%"	"0.91%"	"2.1%"	"777"
"56"	"5580"	"HIBERNIA"	"Atrato Communications, Inc."	"Tr/Ac"	"624"	"8705"	"14957649"	"1.3%"	"1.6%"	"0.70%"	"753"
