ASN	Name	Registration date	Global rank	#routeable IPv4	#prefixes IPv4	#prefixes IPv6
3352	TELEFONICA DE ESPANA	1995-05-31	43	10,405,120	285	2
12479	France Telecom Espana SA	1999-06-09	138	3,260,928	873	
6739	Cableuropa S.A.U.	1999-11-24	141	3,093,760	147	1
12715	Jazz Telecom S.A.	1999-10-08	200	1,968,128	38	8
12357	VODAFONE ESPANA S.A.U.	1999-04-07	239	1,638,400	9	
766	Entidad Publica Empresarial Red.es	1993-09-01	246	1,584,640	36	1
12430	VODAFONE ESPANA S.A.U.	1999-05-18	370	997,376	17	2
20838	France Telecom Espana S.A	2001-06-12	461	720,896	22	
12334	R Cable y Telecomunicaciones Galicia, S.A.	1999-03-19	599	499,712	59	1
12338	Euskaltel S.A.	1999-03-22	612	483,328	11	1
13041	CESCA - Anella Cientifica RREN Autonomous System	2000-02-25	808	312,064	9	2
29119	ServiHosting Networks S.L.	2003-06-10	821	305,664	188	4
12946	Telecable de Asturias,SA	2000-01-19	886	279,552	24	
12956	Telefonica Backbone Autonomous System	2000-01-26	1,400	151,040	52	4
16299	XFERA Moviles S.A.	2001-02-20	1,463	141,312	12	
15704	Xtra Telecom, S.L.	2000-09-20	1,535	135,168	5	
52122	Bona Netto SL	2011-01-03	1,549	134,144	4	
15732	Iberbanda AS for Spanish operations	2000-10-02	1,865	114,688	20	
20921	France Telecom Espana SA	2001-07-06	1,924	106,496	23	
2134	GS Virtual Network Produban	1993-04-23	2,142	88,576	74	
12321	Ibercom Telecom S.A.	1999-03-09	2,264	81,920	7	
20718	arsys.es	2001-05-14	2,269	81,920	7	6
35699	Adamo Telecom Iberia S.A.	2005-10-06	2,409	75,008	104	3
3262	SAREnet,S.A.	1994-10-20	2,435	74,240	5	1
39738	Telecom Castilla La Mancha	2006-04-19	2,461	73,728	2	
20760	Produban Servicios Informaticos Generales, S.L.	2001-05-21	3,049	65,792	12	
44939	Simfonics Iberia S.L.	2008-04-04	3,096	65,792	2	
15488	Universidad del Pais Vasco - Euskal Herriko Uniber	2000-07-14	3,723	65,536	1	
16153	Servei Catala de la Salut	2001-01-09	3,588	65,536	2	
39069	Comunidad Autonoma de la Region de Murcia	2005-12-07	3,826	65,536	1	1
198096	CICA Centro Informatico Cientifico de Andalucia,ES	2011-09-28	3,957	65,536	1	1
198878	UNAV Universidad de Navarra,ES	2012-06-08	3,269	65,536	1	
16371	acens Technologies, S.L.	2001-03-09	3,989	63,488	34	1
6813	FLEXNET Autonomous System	1996-11-01	4,053	59,648	114	
34977	PROCONO S.A.	2005-05-11	4,057	59,392	8	1
16206	NEO-SKY 2002 Autonomous System 1	2001-01-23	4,169	54,272	12	1
49565	EURONA WIRELESS TELECOM, S.A.	2009-07-06	4,687	38,656	8	1
8903	BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELEC	1998-07-24	4,834	35,584	37	1
12541	BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELEC	1999-07-07	4,871	34,816	35	1
12386	Orange Catalunya Xarxes de Telecomunicacions S.A.	1999-04-23	5,199	31,488	8	1
8239	Arrakis, Servicios y comunicaciones, S.L.	1997-03-17	5,368	28,672	6	
8311	Redestel Networks S.L.	1997-05-13	5,377	28,672	12	1
13287	NIXVAL Data Center	2000-05-25	5,689	24,832	64	5
12769	LET'S GOWEX, S.A.	1999-11-02	5,798	24,576	7	1
15915	World Wide Web Ibercom S.A.	2000-11-01	5,728	24,576	2	
21193	Centre de Telecomuncaciones i Tecnologies de la In	2001-09-21	5,771	24,576	2	
15919	Servicios de Hosting en Internet S.A.	2000-11-01	5,930	23,040	9	1
15699	OGIC Informatica S.L. - ADAM Internet	2000-09-19	6,002	22,272	15	2
39155	Cablesur Comunicaciones S.A.	2005-12-23	6,101	21,504	28	
15734	Telvent Global Services S.A.	2000-10-02	6,114	21,248	17	5
3324	Fujitsu Technology Solutions, S.A.	1995-02-23	6,330	19,968	7	
50129	Concisa, Comunicacion, Marketing y Servicios S.L.	2015-01-08	6,328	19,968	26	
16372	Orange Web Services S.L.	2001-03-09	6,509	18,432	8	
42612	DinaHosting S.L.	2007-03-22	6,540	18,432	3	1
201942	SOLTIA Soltia Consulting SL,ES	2014-05-23	6,781	17,152	24	
9165	PROSODIE IBERICA SL	1999-01-22	7,178	16,384	5	
49603	WHOLESALE INGENIERIA COMUNICACION, S.L	2009-07-13	6,996	16,384	3	
50926	Infortelecom Hosting S.L.	2010-04-22	7,322	15,872	49	
24592	NEXICA	2002-01-11	7,544	14,336	5	2
31479	IPORIUM NETWORKS S.L.	2004-05-26	7,522	14,336	9	3
16030	Alta Tecnologia en Comunicaciones, S.L	2005-01-18	7,823	12,800	47	1
41368	TV ALMANSA, S.L.	2006-08-02	7,847	12,800	10	1
31577	Prored Comunicaciones, S.L.	2004-06-15	7,895	12,544	9	1
