ASN	Name	Registration date	Global rank	#routeable IPv4	#prefixes IPv4	#prefixes IPv6
3215	Orange S.A.	1994-04-15	29	15,363,840	384	18
15557	Societe Francaise du Radiotelephone S.A.	2000-08-03	40	11,777,280	67	19
12322	Free SAS	1999-03-11	42	11,116,544	25	1
10455	Alcatel-Lucent	1997-08-08	103	4,654,336	74	
12844	Bouygues Telecom	1999-12-06	107	4,458,496	8	
51964	Equant Inc.	2010-12-07	145	2,971,136	454	35
2200	Reseau National de telecommunications pour la Tech	1993-09-01	147	2,964,224	58	1
5410	Bouygues Telecom S.A.	1995-09-08	160	2,634,752	36	1
8228	Societe Francaise du Radiotelephone S.A.	1997-03-05	204	1,917,696	42	
21502	NUMERICABLE is a cable network operator in France,	2002-01-04	243	1,611,776	59	1
16276	Ovh Systems	2001-02-15	292	1,320,448	68	3
51207	Free Mobile SAS	2011-12-14	357	1,058,816	3	
5511	Orange S.A.	1996-01-08	391	924,672	127	3
12670	COMPLETEL SAS France	1999-09-22	418	811,520	88	1
25186	Orange S.A.	2002-08-27	536	582,656	164	2
9159	Credit Agricole S.A.	1999-01-19	944	262,656	6	
21351	Mediaserv	2001-11-07	1,211	193,536	14	1
12876	ONLINE S.A.S.	1999-12-20	1,259	180,224	7	1
41272	MOSELLE TELECOM	2006-07-13	1,433	147,456	3	
21449	ETAT DE GENEVE	2009-01-13	1,521	135,680	5	
41020	STMicroelectronics International NV	2006-05-31	1,634	131,584	4	
35632	Iris 64	2005-09-20	1,743	131,072	3	
52075	Wifirst S.A.S.	2010-12-23	1,691	131,072	17	5
198875	APHP-AS Assistance Publique-Hopitaux de Paris,FR	2012-06-08	1,710	131,072	2	
12626	Societe Francaise du Radiotelephone S.A.	1999-08-26	1,768	126,464	34	
13193	Nerim SAS	2000-04-28	1,779	123,648	30	3
34383	Teloise	2005-01-04	1,789	122,880	4	
28708	Orange S.A.	2003-02-05	1,865	114,688	28	11
20776	Outremer Telecom	2001-05-25	2,176	86,272	49	
35238	Alsace Connexia	2005-06-29	2,173	86,272	51	
9003	Altitude Telecom SAS	1998-10-05	2,202	84,224	11	
29150	Alcanet	2003-06-16	2,235	82,432	7	
20900	SAEM Intermediasud	2001-07-03	2,247	81,920	13	
39005	MEDI@LYS	2005-11-25	2,257	81,920	2	
16347	ADISTA SAS	2001-03-07	2,277	81,408	35	4
34006	Veepee SAS	2004-09-28	2,428	74,752	13	1
49902	SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS	2009-10-06	2,416	74,752	6	
25540	Alphalink ISP	2002-12-30	2,692	68,352	57	7
8255	Euro-Information-Europeenne de Traitement de l'Inf	1997-04-04	2,732	67,584	6	
2579	Alcatel-Lucent	2014-04-25	2,798	67,072	10	
8677	Atos Worldline SAS	1998-02-19	2,894	66,304	9	1
25215	BNP PARIBAS SA	2002-09-03	2,875	66,304	6	
7345	Alcatel-Lucent	1996-11-13	2,911	66,048	40	1
12765	Total S.A.	1999-10-29	3,090	65,792	13	
29110	Institut Pasteur	2003-06-05	3,258	65,536	1	
35540	OVH Telecom	2005-08-31	3,593	65,536	1	
41334	MANCHE TELECOM	2006-07-26	3,105	65,536	1	
42811	Herault Telecom	2009-01-08	3,677	65,536	2	
56339	Epitech	2011-02-01	3,582	65,536	1	
8218	Neo Telecoms S.A.S. Neo Telecoms S.A.S.	2004-07-09	4,072	59,136	45	3
35393	SAS CTS Computers and Telecommunications Systems	2005-07-29	4,083	58,624	15	2
8304	ECRITEL Company	1997-05-09	4,098	58,112	28	1
