ASN	Name	Registration date	Global rank	#routeable IPv4	#prefixes IPv4	#prefixes IPv6
3269	Telecom Italia S.p.a.	1994-11-14	19	19,009,280	307	1
30722	Vodafone Omnitel N.V.	2003-11-17	93	5,072,640	72	3
12874	Fastweb SpA	1999-12-17	126	3,606,016	74	3
24608	H3G S.p.A.	2002-01-17	179	2,301,952	53	1
16232	TIM (Telecom Italia Mobile) Autonomous System	2001-02-02	220	1,777,664	15	1
8612	Tiscali Italia S.P.A.	1998-01-06	270	1,444,352	33	2
20959	Telecom Italia S.p.A.	2001-07-12	292	1,310,720	26	
8968	BT Italia S.p.A.	1998-09-07	346	1,087,744	38	1
3302	Infracom Italia S.p.A.	1994-10-28	783	328,192	21	3
15589	Clouditalia Communications S.p.A.	2000-08-10	845	295,680	32	1
29286	Skylogic Italia Autonomous System	2003-07-22	1,041	225,024	109	
12663	Vodafone Omnitel N.V.	1999-09-17	1,105	205,056	30	
3313	BT Italia S.p.A.	1995-02-06	1,231	187,136	53	
34695	E4A s.r.l.	2005-03-18	1,267	176,128	7	1
3242	ITnet S.r.l.	1994-07-28	1,293	169,728	21	
31034	Aruba S.p.A.	2004-02-12	1,328	163,840	44	12
6762	TELECOM ITALIA SPARKLE S.p.A.	1996-09-12	1,399	151,296	72	6
3228	Tiscali Italia S.P.A.	1994-06-17	1,416	147,968	14	
44957	Vodafone Omnitel N.V.	2008-04-07	1,434	147,456	6	
8217	ENI S.p.A.	1997-02-19	1,693	131,072	4	
5396	MC-LINK SPA	1995-08-13	1,843	115,968	30	
5602	KPNQwest Italia S.p.a	1996-04-23	1,875	112,640	72	2
35612	NGI Spa	2005-09-16	1,881	111,616	8	1
20746	Telecomitalia s.p.a.	2001-05-16	1,901	109,056	298	1
12797	BT Italia S.p.A.	2010-06-21	2,002	98,816	5	
39120	Convergenze S.p.A.	2005-12-15	2,172	86,528	20	1
2594	CSI Piemonte	1993-07-21	2,256	81,920	11	1
6882	Regione Toscana	1996-12-24	2,463	73,728	2	
21176	Engineering IT S.p.A.	2001-09-17	2,525	72,704	20	1
28929	ASDASD srl	2003-04-09	2,559	71,424	8	1
34081	incubatec GmbH - Srl	2004-10-19	2,636	69,632	9	1
48291	ARIA S.P.A.	2008-11-05	2,674	68,608	49	
12637	SEEWEB s.r.l.	1999-09-07	2,718	67,840	22	3
48135	SELEX ELSAG S.p.A.	2008-10-16	2,742	67,584	7	
20811	Brennercom S.p.A.	2001-06-06	2,827	66,560	10	2
5535	Food And Agriculture Organization of the United Na	1996-01-30	2,870	66,304	3	
16161	UBI SISTEMI E SERVIZI S.c.p.A.	2001-01-10	3,026	65,792	2	
42165	European Commission - Directorate General - Joint 	2007-01-03	2,991	65,792	4	
5609	Telecom Italia S.p.a.	1996-04-24	3,218	65,536	1	
6734	Spin s.r.l.	1996-08-01	3,457	65,536	4	1
12551	ENEL S.p.A. Autonomous System	1999-07-12	3,927	65,536	9	
12734	Fiat Group Autonomous System	1999-10-19	3,843	65,536	1	
20981	InnovaPuglia SpA	2001-07-17	3,740	65,536	1	
5394	UNIDATA S.p.A.	1995-08-13	3,977	64,256	11	1
21309	ACANTHO SPA	2001-10-25	4,051	59,648	23	1
