ASN	Name	Registration date	Global rank	#routeable IPv4	#prefixes IPv4	#prefixes IPv6
8402	OJSC "Vimpelcom"	1997-07-30	183	2,228,480	1,326	1
41440	OJSC Rostelecom	2006-08-21	190	2,117,888	146	
8997	OJSC Rostelecom	1998-10-02	302	1,249,280	71	1
8359	MTS OJSC	1997-06-26	343	1,099,776	69	4
12714	Net By Net Holding LLC	1999-10-08	347	1,086,720	127	1
3216	OJSC "Vimpelcom"	1994-04-15	417	813,312	753	1
12389	OJSC Rostelecom	2005-07-01	468	700,672	157	237
31200	Novotelecom Ltd	2004-03-22	534	589,824	30	1
25490	OJSC Rostelecom	2002-12-09	555	545,536	58	1
42610	OJSC Rostelecom	2007-03-22	585	517,120	16	2
39927	E-Light Telecom	2006-05-18	669	409,600	12	
25513	OJS Moscow city telephone network	2002-12-17	672	409,344	25	1
8342	OJSC RTComm.RU	1997-06-11	719	370,944	16	2
41733	Perspectiva Ltd.	2006-10-16	727	360,448	6	
8369	Intersvyaz-2 JSC	1997-07-03	792	326,656	20	1
28812	OJSC "Bashinformsvyaz"	2003-03-03	801	319,488	10	2
28840	OJSC "OAO TATTELECOM"	2003-03-12	815	311,552	62	1
12332	OJSC Rostelecom	1999-03-17	830	303,104	44	
20485	TransTelecom	2001-03-13	836	297,472	27	2
58313	CJSC Link Telecom	2012-06-21	848	294,912	2	
20632	OJSC MegaFon	2001-04-20	875	284,416	43	
8615	OJSC Central telegraph	1998-01-09	889	278,528	10	1
12695	Digital Networks CJSC	1999-09-30	913	268,800	83	3
2854	LLC Equant	1993-12-22	925	265,472	25	4
6828	OJSC Rostelecom	1996-11-12	938	262,912	74	1
3267	State Institute of Information Technologies and	1994-10-28	941	262,656	17	1
35807	SkyNet Ltd.	2005-11-01	951	262,144	21	
12683	PJSC "Southern Telecommunications Company"	1999-09-27	988	245,760	11	
6703	PRIVATE JOINT-STOCK COMPANY "FARLEP-INVEST"	1996-07-05	999	237,824	278	
21479	The branch "Rostovelectrosviaz" of Public Joint St	2001-12-27	1,002	237,568	18	
21127	JSC "Zap-Sib TransTeleCom", Novosibirsk	2001-09-03	1,012	233,472	398	4
13238	Yandex LLC	2000-05-12	1,015	232,448	75	2
25515	OJSC Rostelecom	2002-12-18	1,019	230,912	112	
25405	OJSC Rostelecom	2002-11-13	1,029	228,352	12	1
12705	OJSC Rostelecom	1999-10-05	1,034	227,584	136	1
28719	OJSC Rostelecom	2003-02-07	1,042	225,024	149	1
3239	OJSC Rostelecom	1994-07-25	1,067	215,808	62	1
24955	OJSC "Ufanet"	2002-06-06	1,209	193,536	226	2
15500	OJSC Rostelecom	2000-07-18	1,225	188,416	12	
48347	JSC Mediasoft ekspert	2008-11-17	1,302	169,472	37	1
2118	OOO "NPO Relcom"	1993-02-17	1,308	168,448	165	2
33934	OJSC Rostelecom	2004-09-09	1,348	162,560	18	
44050	Petersburg Internet Network ltd.	2007-11-09	1,390	154,624	65	1
35154	OJSC Rostelecom	2005-06-14	1,435	147,456	7	1
12668	LLC "KomTehCentr"	1999-09-21	1,451	144,384	9	1
8732	AS for Moscow Telecommunication Corporation (COMCO	1998-03-26	1,453	143,872	15	1
12768	CJSC "ER-Telecom Holding"	1999-11-02	1,462	142,080	132	6
31514	LLC "Multiscan"	2004-06-03	1,490	139,264	12	
31094	OJSC Rostelecom	2004-02-25	1,519	135,936	35	1
48781	AVK-computer ltd	2009-02-05	1,565	133,120	5	
47395	Scartel Ltd.	2008-06-12	1,765	126,464	34	
13118	OJSC Rostelecom	2000-03-23	1,785	122,880	47	1
39272	Complex Prime LLC	2006-01-23	1,795	122,880	33	
42682	CJSC "ER-Telecom Holding"	2007-04-02	1,803	121,600	15	2
12772	ZAO Prestige-Internet	2005-07-07	1,804	121,344	251	
21017	OJSC Rostelecom	2001-07-27	1,826	118,784	13	1
34875	OJSC Rostelecom	2005-04-22	1,844	116,224	162	4
42362	OJSC Rostelecom	2007-02-08	1,877	112,640	11	
25008	OJSC Rostelecom	2002-06-21	1,883	112,128	34	
34584	OJSC Rostelecom	2005-02-17	1,887	110,848	21	
3253	OJSC "Vimpelcom"	1994-09-16	1,909	107,776	14	
21453	Flex Ltd.	2001-12-14	1,912	107,520	13	2
8570	OJSC Rostelecom	1997-12-04	1,930	106,496	21	
34123	Netorn LLC	2004-10-28	1,949	103,680	9	1
34602	Media Ltd	2005-02-22	1,964	102,400	17	3
42420	Net By Net Holding LLC	2007-02-19	1,959	102,400	30	
41691	Summa Telecom LLC	2006-10-09	1,969	102,144	34	
50923	Metroset Ltd.	2010-04-21	1,974	101,376	29	1
34145	LLC TOMTEL	2004-11-04	1,997	99,328	31	1
34533	CJSC "ER-Telecom Holding"	2005-02-08	2,014	98,560	6	1
15774	Closed Joint Stock Company TransTeleCom	2009-07-31	2,018	98,304	95	1
47165	Omskie kabelnye seti Ltd.	2008-05-07	2,038	97,280	16	1
31036	New Telesystems - TV, Ltd.	2004-02-12	2,072	94,208	21	
60496	Mobile TeleSystems Open Joint Stock Company	2013-07-10	2,066	94,208	18	
16301	OJSC Rostelecom	2001-02-21	2,115	90,368	6	
34137	OJSC Rostelecom	2004-11-03	2,122	90,112	4	
8439	CJSC AIST	1997-08-25	2,156	87,040	20	
39229	OJSC Rostelecom	2006-01-12	2,180	86,016	34	
8675	OJSC Rostelecom	1998-02-18	2,205	83,968	5	
20597	OJSC "Vimpelcom"	2001-04-18	2,206	83,968	9	1
2878	OJSC Rostelecom	1994-03-30	2,210	83,712	15	
6854	CJSC Synterra	1996-12-03	2,238	82,176	40	1
29456	OJSC Rostelecom	2003-09-15	2,251	81,920	4	
34974	OJSC Rostelecom	2005-05-11	2,248	81,920	29	
28890	INSYS JSC	2003-03-27	2,304	79,872	11	1
12958	OJSC "Moscow Cellular Communications",	2000-01-26	2,353	77,824	6	1
25436	OJSC Rostelecom	2002-11-21	2,340	77,824	37	
25532	.masterhost autonomous system	2002-12-27	2,336	77,824	5	1
35000	Prometey Ltd. Autonomous System	2005-05-17	2,347	77,824	6	1
29632	NetAssist LLC	2003-10-28	2,355	77,568	15	2
29190	CJSC "Comstar-Regions"	2003-06-24	2,411	75,008	22	
5523	CJSC "CREDO-TELECOM"	1996-01-24	2,426	74,752	5	
35531	OJSC Rostelecom	2005-08-29	2,454	73,984	26	1
8377	JSC Peterlink	1997-07-10	2,468	73,728	2	
8470	CJSC Macomnet	1997-09-12	2,475	73,728	4	8
21487	OJSC Rostelecom	2001-12-28	2,465	73,728	7	
30868	ZAO "AKADO-Ekaterinburg"	2003-12-29	2,477	73,728	6	
15582	"AKADO-Stolitsa" JSC	2000-08-10	2,550	71,680	11	
34168	OJSC Rostelecom	2004-11-10	2,557	71,680	8	1
42277	Closed joint stock company Kursktelecom	2007-01-26	2,576	70,656	7	1
8371	OJSC "Vimpelcom"	1997-07-03	2,601	69,888	9	1
15468	OJSC Rostelecom	2000-07-07	2,645	69,632	23	
44677	MTS OJSC	2008-02-22	2,612	69,632	2	
12418	Quantum CJSC	1999-05-11	2,688	68,608	188	1
41754	CJSC "ER-Telecom Holding"	2006-10-19	2,716	67,840	17	1
15640	CJSC "COMSTAR-regions"	2000-08-30	2,785	67,072	18	1
25086	CJSC "COMSTAR-regions"	2002-07-22	2,839	66,560	16	
35728	CJSC "Comstar-Regions"	2005-10-12	2,824	66,560	6	
8580	CJSC "Comstar-Regions"	1997-12-15	2,914	66,048	7	
2875	Joint Institute for Nuclear Research	1994-03-17	3,627	65,536	1	
8370	ARiPPS Ltd	1997-07-03	3,511	65,536	3	
13056	OJSC Rostelecom	2000-03-03	3,325	65,536	4	
42825	OJSC Rostelecom	2007-04-23	3,142	65,536	11	
48524	INTERRA telecommunications group, Ltd.	2008-12-05	3,982	64,512	27	1
8443	OJSC Rostelecom	1997-08-25	3,993	64,000	66	
41682	CJSC "ER-Telecom Holding"	2006-10-06	4,003	63,232	10	1
48172	Oversun Ltd	2008-10-21	4,005	62,976	61	3
8331	Cronyx Plus Ltd.	1997-06-03	4,015	61,952	6	1
8492	"OBIT" Ltd.	2005-02-17	4,016	61,952	67	1
8905	Digit One LLC	1998-07-28	4,017	61,952	19	
21378	OJSC Rostelecom	2001-11-20	4,018	61,952	28	
6863	OJSC Rostelecom	1996-12-10	4,025	61,696	12	
51570	CJSC "ER-Telecom Holding"	2010-09-30	4,020	61,696	5	1
3226	OOO Izhevsk.NET	1994-07-17	4,036	61,440	7	
6856	IC-VORONEZH	1996-12-04	4,031	61,440	7	1
24612	OJSC Rostelecom	2002-01-21	4,032	61,440	4	
5563	CJSC Ural WES	1996-02-29	4,048	60,416	18	1
41843	CJSC "ER-Telecom Holding"	2006-11-02	4,077	58,880	10	1
44281	Iskratelecom CJSC	2007-12-17	4,079	58,880	5	
31214	TIS-DIALOG Autonomous system	2004-03-23	4,093	58,368	9	1
39435	CJSC "ER-Telecom Holding"	2006-02-22	4,112	57,600	4	2
41134	OJSC Rostelecom	2006-06-20	4,118	57,344	5	
47241	CJSC "Ivtelecom"	2008-05-22	4,125	57,344	3	
41668	CJSC "ER-Telecom Holding"	2006-10-03	4,135	56,832	54	3
8427	Maginfo JSC	1997-08-15	4,148	56,320	49	
39102	SatTel Corporation, Ltd.	2005-12-14	4,156	55,808	34	1
25408	CJSC "WEST CALL LTD"	2002-11-13	4,168	55,296	13	1
34267	OJSC Rostelecom	2004-12-02	4,167	55,296	28	
49505	OOO "Network of data-centers "Selectel"	2009-06-18	4,187	54,016	51	6
48642	K Telecom Ltd.	2008-12-22	4,193	53,760	33	1
51604	CJSC "ER-Telecom Holding" Yekaterinburg Branch	2010-10-06	4,197	53,504	63	3
39493	CJSC Kolomna-Sviaz TV	2006-03-06	4,198	53,248	5	
20807	Credolink ISP Autonomous System	2001-06-05	4,220	52,224	7	
41661	CJSC "ER-Telecom Holding"	2006-10-02	4,236	51,456	50	3
39134	United Network LLC	2005-12-16	4,252	51,200	49	4
42683	CJSC "ER-Telecom Holding"	2007-04-02	4,261	50,688	64	1
28745	Southern Urals TransTelecom Regional Office of Tra	2003-02-13	4,269	50,432	98	1
41560	UGMK-Telecom LLC	2006-09-14	4,275	50,176	46	
2820	ZAO "Elvis-Telecom"	1993-11-25	4,277	49,920	7	1
50543	CJSC "ER-Telecom Holding"	2010-02-08	4,296	49,408	9	1
6801	Federal State Institution Russian Scientific Cente	1996-10-25	4,332	49,152	3	
12543	KUBTELECOM Ltd.	1999-07-07	4,314	49,152	3	
12730	OJSC Rostelecom	1999-10-14	4,310	49,152	3	
24699	OJSC Rostelecom	2002-02-25	4,318	49,152	39	
29194	Television Radio Company "TBT" OJSC	2003-06-25	4,334	49,152	9	
31286	Television Radio Company "TBT" OJSC	2004-04-06	4,322	49,152	7	
31359	OJSC "Vimpelcom"	2004-04-26	4,307	49,152	4	
34449	OJSC Rostelecom	2005-01-21	4,337	49,152	21	
49342	Speedyline Ltd	2009-05-22	4,359	48,128	6	
51645	CJSC "ER-Telecom Holding"	2011-08-10	4,370	47,360	12	1
8334	2COM Co Ltd.	1997-06-04	4,376	47,104	4	
12688	CJSC "Baikal TransTeleCom"	2011-03-23	4,383	46,336	15	1
