ASN	Name	Registration date	Global rank	#routeable IPv4	#prefixes IPv4	#prefixes IPv6
6855	Slovak Telecom, a. s.	1996-12-03	512	620,544	20	1
2607	Slovak Academic Network	1993-10-21	549	558,848	15	1
15962	ORANGE Slovensko - ISP IP backbone	2000-11-14	1,074	213,760	14	1
29208	Dial Telecom, a.s.	2003-07-01	1,771	124,928	17	4
16160	SWAN a.s.	2001-01-09	1,869	114,176	28	1
8257	Slovanet, a.s.	1997-04-04	2,262	81,920	4	
31117	Energotel, a.s.	2004-03-02	4,315	49,152	15	2
5628	Slovak Telecom, a. s.	1996-05-13	4,614	40,960	2	
8264	Astrium Services Enterprises AS	1997-04-09	4,590	40,960	2	1
29405	VNET a.s. Bratislava, Slovakia, SK	2003-08-29	4,669	38,912	21	1
35328	DSi DATA s.r.o.	2005-07-15	6,022	22,016	24	
8778	Slovanet, a.s.	1998-05-05	6,045	21,760	5	2
31127	Satro, s.r.o.	2004-03-04	6,063	21,504	4	1
43451	RadioLAN spol. s r.o.	2007-08-01	6,308	20,480	14	2
42841	ANTIK Telecom s.r.o	2007-04-25	6,499	18,432	9	1
31679	Slovanet a.s.	2004-07-09	6,971	16,384	2	
12905	ACS Ltd.	1999-12-30	7,886	12,544	10	
42005	LightStorm Communications s.r.o.	2006-12-01	8,155	12,288	2	1
16006	RUPKKI s.r.o.	2009-02-06	8,423	11,264	7	1
58130	RSNET s.r.o.	2012-05-10	8,751	10,240	9	
39574	Minet s.r.o.	2006-03-21	8,924	9,728	19	
48326	DataNetworks s.r.o.	2008-11-12	9,227	9,216	3	
49115	E-MAX INTERNET & IT	2009-04-15	9,041	9,216	2	
12508	Rainside s.r.o.	1999-06-22	9,456	8,704	2	
51653	PRESNET s.r.o.	2010-10-14	9,467	8,704	9	
6862	GRATEX-AS	1996-12-09	9,894	8,192	1	
8290	EntryNET Autonomous System	1997-04-24	10,076	8,192	1	1
8620	TEMPEST a.s. Autonomous System Number	1998-01-13	10,791	8,192	1	
8887	TESATEL, s.r.o.	2011-03-30	9,715	8,192	1	1
51947	GeCom s.r.o.	2010-12-03	10,482	8,192	1	
57547	Alternet s.r.o.	2011-11-25	9,827	8,192	5	
25496	ZSR ZT Bratislava	2002-12-10	12,744	5,120	2	1
49044	DIGI SLOVAKIA, s.r.o.	2009-03-31	12,650	5,120	3	1
24744	SiNET Telecom s.r.o.	2002-03-11	13,116	4,608	6	
58328	IMAFEX, spol. s r.o.	2012-06-26	13,412	4,352	6	
6658	NAPRI s.r.o.	1996-05-28	15,355	4,096	1	
12426	MADNET-AS Slovanet a.s.,SK	2001-02-19	14,640	4,096	1	
21019	S.A. NET	2001-07-30	14,123	4,096	1	
38949	Trestel SK, a.s.	2005-11-17	15,457	4,096	1	
44185	BONET Group s.r.o.	2007-11-30	15,777	4,096	1	1
44631	Condornet, s.r.o.	2008-02-14	13,810	4,096	1	
48133	e-Net, s.r.o.	2008-10-16	14,419	4,096	5	
56933	Datagram s.r.o.	2011-06-17	15,749	4,096	2	
57710	KOREX networks, s.r.o.	2012-01-20	13,816	4,096	1	1
58044	free-zona s.r.o.	2012-04-05	14,118	4,096	1	
58275	COMP-SHOP s.r.o.	2012-06-12	14,735	4,096	1	
16354	Citicom, s.r.o.	2009-01-12	16,793	3,072	3	1
48304	Digmia s.r.o.	2008-11-10	16,958	3,072	2	1
34820	DELTA ONLINE spol. s r.o.	2005-04-08	18,110	2,560	6	
51013	Websupport s.r.o.	2010-05-17	17,987	2,560	2	
44234	ARTOS a.s.	2007-12-07	18,349	2,304	2	
48473	Towercom a.s.	2008-12-01	18,571	2,304	3	1
56356	Andrex s.r.o.	2011-02-10	18,789	2,304	2	
20581	Ing. Jan Mindzak - Maximal Net	2009-08-03	19,934	2,048	1	
39854	6COM s.r.o.	2006-05-04	20,724	2,048	1	1
43248	ISPER, s.r.o.	2007-07-02	20,403	2,048	1	
48689	WEBGLOBE, s.r.o.	2009-01-02	18,945	2,048	2	
50128	CNC, a.s.	2009-11-20	19,305	2,048	1	1
50953	David Kondicz trading as KONFER networks	2010-04-29	20,534	2,048	1	
56349	IP-Net s.r.o.	2011-02-09	19,387	2,048	1	1
56656	Detronics s.r.o.	2011-04-20	20,200	2,048	1	
56747	Nelson Services, s.r.o.	2011-05-09	20,216	2,048	1	
56800	LAST MILE spol. s r.o.	2011-05-18	21,887	2,048	1	
57865	RSB, s.r.o.	2012-02-28	20,760	2,048	2	
50881	ESET, spol. s r.o.	2011-02-07	22,459	1,792	7	
201924	LERTAS-AS Lertas NET s.r.o.,SK	2014-05-30	23,161	1,536	6	1
25373	National Agency for Network and Electronic Service	2004-07-14	23,878	1,280	3	2
197284	PANTELSK Turk Telekom International SK, s.r.o,SK	2010-09-28	24,156	1,280	2	
201603	AIRNET-SK AIRNET s.r.o.,SK	2014-09-09	23,644	1,280	2	1
20579	SWAN a.s.	2001-04-10	25,035	1,024	1	
24791	Direct Development, s.r.o.	2002-04-02	29,774	1,024	1	
39455	KALIANT-AS KALIANT s.r.o.,SK	2015-01-29	24,953	1,024	1	
44001	Antaree Solutions, s.r.o	2011-06-24	27,773	1,024	1	
56814	netNZ, s.r.o.	2011-05-20	26,992	1,024	1	
57716	Skynet Telecom s.r.o.	2012-01-23	29,323	1,024	1	
57788	Azet.sk, a.s.	2012-02-08	25,043	1,024	1	
57801	SK-NIC, a.s.	2012-02-13	26,500	1,024	4	4
60533	SateliX s.r.o.	2013-07-01	25,840	1,024	4	
60585	SITEL-VSAT sro	2013-06-20	28,006	1,024	1	
60791	HGdata s.r.o.	2013-05-10	25,898	1,024	1	
201702	SKHOSTING-EU skHosting.eu s.r.o.,SK	2014-08-08	26,608	1,024	1	1
201890	EHS EHS, s.r.o.,SK	2014-06-12	30,202	1,024	3	1
16367	SALAMON INTERNET, s.r.o.	2001-03-09	30,359	768	3	
60895	LEKOS s.r.o.	2013-04-17	30,499	768	2	
201997	SK-MCOM-AS MCOM-NET s.r.o.,SK	2014-05-08	31,337	768	3	1
29531	VM Telecom, s.r.o.	2003-10-06	33,756	512	2	
34462	DITEC, a.s.	2005-01-25	34,165	512	1	
34521	Siemens IT Solutions and Services s.r.o.	2005-02-07	33,443	512	2	
48907	Norttel s.r.o.	2011-09-13	37,087	512	2	
56926	KOMNET, s.r.o.	2011-06-15	34,365	512	2	
56955	Jan Galbac	2011-06-22	32,255	512	1	
57051	IT Pro s.r.o.	2011-07-11	33,652	512	1	
59477	LIFEPC, s.r.o.	2012-07-19	32,968	512	1	
60296	Spoje, s.r.o.	2013-08-16	33,150	512	1	
202224	ASBOOTIS booTIS s.r.o.,SK	2014-03-07	34,956	512	1	
16142	ING Bank N.V., pobocka zahranicnej banky	2001-01-05	42,524	256	1	
24727	Slovensky plynarensky priemysel, a.s.	2002-03-05	45,583	256	1	
24980	PENTA INVESTMENTS LIMITED o.z.	2002-06-14	38,195	256	1	
30898	DataCentrum	2004-01-07	37,915	256	1	
34443	Postova banka a.s.	2005-01-20	39,381	256	1	
34791	Rozhlas a televizia Slovenska Ipo	2005-04-05	48,042	256	1	
35476	Porsche Inter Auto Slovakia, spol. s r.o.	2012-05-03	42,182	256	1	
39456	Llarik s.r.o.	2010-06-21	39,944	256	1	
41318	First Data Slovakia s.r.o.	2006-07-24	39,534	256	1	
42826	S&T Slovakia sro	2008-07-16	46,181	256	1	
47483	Giro, s.r.o.	2008-06-25	44,567	256	1	
49659	SkyToll, a. s.	2009-07-22	48,102	256	1	
56937	ISDD plus s.r.o.	2011-06-17	42,773	256	1	
57414	eustream as	2011-10-20	45,994	256	1	
58232	CETELEM SLOVENSKO a.s.	2012-05-31	40,399	256	1	
59538	First Mobile Affiliate, s.r.o.	2012-08-03	38,428	256	1	
59548	AXASOFT, a.s.	2012-08-07	48,883	256	1	
59848	Slovak Hydrometeorological Institute	2014-09-03	49,021	256	1	
60829	NEVERNET, s.r.o.	2013-05-01	40,530	256	1	
197642	ST-IDC2-AS Slovak Telecom, a. s.,SK	2011-03-09	43,228	256	1	
198543	SK-JOJ-ASN MAC TV s.r.o.,SK	2012-03-01	45,465	256	1	1
1922	UAKOM UAKOM,SK	1993-09-01				
6726	GTS-SK-AS-BACKUP BENESTRA, s.r.o.,SK	1996-07-23				
6803	SWAN SWAN a.s.,SK	1996-10-28				
8288	NEXTRA-SK-AS2 BENESTRA, s.r.o.,SK	1997-04-29				
8597	SK-PORSCHE-AS Porsche Slovakia, spol. s r.o,SK	2012-06-05				
16295	ETEL-SK BENESTRA, s.r.o.,SK	2001-02-20				
16317	SK-4CALL PEGAS Wireless, s.r.o.,SK	2001-02-23				
21460	MOVYS-AS Movys a.s.,SK	2001-12-17				
35419	PRIMANET-AS Primanet, spol. s r.o.,SK	2005-08-04				
41899	SEAS-SK-AS Slovenske elektrarne, a.s.,SK	2006-11-10				
42302	MCC-SK-AS METRO Cash & Carry Slovakia s.r.o.,SK	2007-01-30				
47627	NIXSK NIX.CZ z.s.p.o.,SK	2014-12-09				
47867	SSE Stredoslovenska energetika, a. s.,SK	2014-12-08				1
48103	OSK-GRX Orange Slovensko GRX,SK	2008-10-15				
50242	LEVONET LEVONET, s.r.o.,SK	2009-12-09				
51828	ASHMZRADIO HMZ Radiokomunikacie, spol s r.o.,SK	2010-11-11				
57248	WISPER-AS Wisper s.r.o.,SK	2011-09-06				
57606	ASPROXIS Proxis, spol. s r.o.,SK	2011-12-08				
57706	MYJAVANET MyjavaNET, s. r. o.,SK	2012-01-20				
196900	AXALNET-AS Axalnet, s.r.o.,SK	2011-07-28				
196944	NIC-SK-ASN NIC Hosting s.r.o.,SK	2010-02-22				
197398	ASTESMEDIA Tes-Media s.r.o.,SK	2010-11-16				
197411	ASHERAKLES HERAKLES-NET, s.r.o.,SK	2010-11-19				
197555	IP-NET IP-Net s.r.o.,SK	2011-02-01				
199392	ASSATLAN Satlan s.r.o.,SK	2013-02-08				
201841	SK-PETITPRESS-ASN Petit Press, a.s.,SK	2014-06-27				
