ASN	Name	Registration date	Global rank	#routeable IPv4	#prefixes IPv4	#prefixes IPv6
7018	AT&T Services, Inc.	1996-07-30	2	77,692,160	1,147	13
721	DoD Network Information Center	0000-00-00	3	72,388,352	259	
7922	Comcast Cable Communications, Inc.	1997-02-14	4	71,192,320	207	4
701	MCI Communications Services, Inc. d/b/a Verizon Bu	1990-08-03	7	46,155,520	1,393	9
3356	Level 3 Communications, Inc.	2000-03-10	9	43,824,896	1,107	75
71	Hewlett-Packard Company	1986-04-14	12	33,759,744	45	19
6167	Cellco Partnership DBA Verizon Wireless	2001-09-04	13	29,800,704	96	4
174	Cogent Communications	1996-05-16	15	27,282,432	2,473	337
22394	Cellco Partnership DBA Verizon Wireless	2007-04-24	17	19,375,104	1,119	564
1239	Sprint	1991-03-25	20	18,699,008	414	5
2686	AT&T Global Network Services, LLC	1993-06-02	21	17,600,000	158	2
209	Qwest Communications Company, LLC	1998-11-13	23	17,111,552	969	12
7377	University of California at San Diego	1996-11-25	24	17,049,344	12	2
3	Massachusetts Institute of Technology	0000-00-00	25	16,976,896	35	1
714	Apple Inc.	0000-00-00	27	16,786,432	224	24
6389	BellSouth.net Inc.	1996-03-28	30	15,106,560	2,891	
237	Merit Network Inc.	1988-09-12	33	13,518,080	54	8
35994	Akamai Technologies, Inc.	2005-05-03	35	12,786,688	216	100
22773	Cox Communications Inc.	2001-11-20	38	12,105,472	2,989	204
3651	Sprint	2003-02-27	39	11,941,376	577	416
3561	Savvis	1998-10-07	49	9,056,768	489	6
7029	Windstream Communications Inc	1996-07-30	50	8,934,144	1,075	5
20057	AT&T Mobility LLC	2001-03-20	54	8,651,520	582	122
10796	Time Warner Cable Internet LLC	2000-06-09	59	8,198,656	843	2
2914	NTT America, Inc.	1998-12-07	60	8,110,592	613	11
8075	Microsoft Corporation	1997-03-31	62	7,600,384	109	9
20115	Charter Communications	2001-03-26	63	7,499,520	1,850	18
2828	XO Communications	2001-12-19	69	7,004,160	211	4
702	MCI Communications Services, Inc. d/b/a Verizon Bu	1990-08-03	72	6,848,768	260	23
33363	BRIGHT HOUSE NETWORKS, LLC	2004-12-03	74	6,326,528	395	2
16509	Amazon.com, Inc.	2000-05-04	75	6,153,472	466	7
20001	Time Warner Cable Internet LLC	2001-03-13	78	6,062,336	221	3
5650	Frontier Communications of America, Inc.	1995-07-25	81	5,654,016	158	2
1668	AOL Transit Data Network	1996-11-22	85	5,484,800	78	2
306	DoD Network Information Center	1989-06-30	88	5,439,488	93	
11351	Time Warner Cable Internet LLC	1998-07-14	92	5,166,848	218	2
6128	Cablevision Systems Corp.	0000-00-00	94	5,005,312	85	5
11427	Time Warner Cable Internet LLC	2000-06-09	95	4,999,936	223	2
14618	Amazon.com, Inc.	2005-11-04	98	4,880,384	59	
11003	The Procter and Gamble Company	1998-03-04	103	4,698,624	121	
11426	Time Warner Cable Internet LLC	2000-06-09	106	4,574,720	294	2
4323	tw telecom holdings, inc.	1995-02-01	110	4,375,552	1,635	11
4249	Eli Lilly and Company	1995-01-11	117	3,914,240	359	
